run_number,start_time,stop_time,elapsed_sec
00305,Thu Jul 18 14:53:06 2024,Thu Jul 18 15:11:46 2024,1120
00306,Thu Jul 18 15:13:44 2024,Thu Jul 18 15:30:18 2024,994
00307,Thu Jul 18 15:31:35 2024,Thu Jul 18 15:33:41 2024,126
00308,Thu Jul 18 15:35:01 2024,Thu Jul 18 15:36:20 2024,79
00309,Thu Jul 18 15:36:57 2024,Thu Jul 18 15:41:00 2024,243
00310,Thu Jul 18 15:41:48 2024,Thu Jul 18 15:47:22 2024,334
00311,Thu Jul 18 15:57:33 2024,Thu Jul 18 16:01:12 2024,219
00312,Thu Jul 18 16:03:06 2024,Thu Jul 18 16:05:25 2024,139
00313,Thu Jul 18 16:09:04 2024,Thu Jul 18 16:11:07 2024,123
00314,Thu Jul 18 16:11:45 2024,Thu Jul 18 16:14:51 2024,186
00315,Thu Jul 18 16:15:23 2024,Thu Jul 18 16:39:38 2024,1455
00316,Thu Jul 18 16:44:35 2024,Thu Jul 18 16:55:25 2024,650
00317,Thu Jul 18 16:57:53 2024,Thu Jul 18 17:10:02 2024,729
00318,Thu Jul 18 17:12:15 2024,Thu Jul 18 17:29:07 2024,1012
00319,Thu Jul 18 17:33:42 2024,Thu Jul 18 17:36:49 2024,187
00320,Thu Jul 18 17:40:35 2024,Thu Jul 18 17:49:21 2024,526
00321,Thu Jul 18 17:50:24 2024,Thu Jul 18 17:55:58 2024,334
00322,Thu Jul 18 18:00:20 2024,Thu Jul 18 18:07:03 2024,403
00323,Fri Jul 19 10:42:44 2024,Fri Jul 19 10:48:12 2024,328
00324,Fri Jul 19 10:50:19 2024,Fri Jul 19 10:54:07 2024,228
00325,Fri Jul 19 10:54:54 2024,Fri Jul 19 10:56:20 2024,86
00326,Fri Jul 19 10:57:59 2024,Fri Jul 19 11:03:00 2024,301
00327,Fri Jul 19 11:03:47 2024,Fri Jul 19 11:12:11 2024,504
00328,Fri Jul 19 11:14:09 2024,Fri Jul 19 11:26:54 2024,765
