#20O cut
o20_b 20O_b  # name title
 2.48869  8.57135
 2.48189  7.98720
 2.48772  7.53785
 2.48869  7.07353
 2.49258  6.59423
 2.49550  6.29466
 2.49550  5.90523
 2.49675  5.14282
 2.50801  5.08251
 2.51397  6.26471
 2.51591  7.23829
 2.51494  7.70261
 2.51494  8.36166
 2.50911  8.75109
 2.49647  8.76607
 2.48869  8.57135
