#19N cut
n19_b 19N_b  # name title
 2.72319  7.50656
 2.71746  7.00596
 2.71631  6.74374
 2.71975  6.33850
 2.72319  5.71871
 2.71975  5.12277
 2.72204  4.55066
 2.73235  4.50298
 2.74152  4.74136
 2.74267  5.48033
 2.74037  6.21931
 2.74381  6.69607
 2.74610  7.38737
 2.73579  7.60191
 2.72319  7.50656
