#18O cut
o18_b 18O_b  # name title
 2.21844  8.64624
 2.21163  8.19690
 2.20969  7.35812
 2.21358  6.60920
 2.21455  5.86029
 2.21358  5.33606
 2.21649  4.93164
 2.23108  4.97658
 2.23399  5.65060
 2.23594  6.72903
 2.23302  7.43301
 2.23983  7.97222
 2.23788  8.43655
 2.22622  8.69118
 2.21844  8.64624
