#17N cut
n17_b 17N_b  # name title
 2.41320  7.67571
 2.40382  7.52495
 2.39912  7.08772
 2.40100  6.48465
 2.40476  6.16804
 2.40382  5.36897
 2.40663  4.38898
 2.40851  4.20806
 2.41977  4.25329
 2.42635  4.52467
 2.42541  5.27851
 2.42635  6.06250
 2.42353  6.36404
 2.42916  6.74095
 2.42916  7.16310
 2.42728  7.44956
 2.42447  7.61541
 2.41508  7.66064
 2.41320  7.67571
