#18N cut
n18_b 18N_b  # name title
 2.56245  7.52495
 2.55401  7.08772
 2.55964  6.66557
 2.56151  6.07758
 2.55870  5.24836
 2.55870  4.50959
 2.56902  4.37390
 2.57935  4.55482
 2.57841  5.17297
 2.58217  6.19819
 2.58217  6.66557
 2.59061  7.02741
 2.58967  7.40433
 2.58686  7.58525
 2.57559  7.70587
 2.56245  7.52495
