#22F cut
f22_b 22F_b  # name title
 2.43385  9.42462
 2.43104  8.68586
 2.43385  7.67571
 2.43385  6.95203
 2.43573  5.82127
 2.45263  5.65543
 2.45544  6.45450
 2.45544  6.87664
 2.45826  7.99232
 2.45638  8.52001
 2.46202  9.01754
 2.46014  9.43969
 2.44793  9.68092
 2.44136  9.69600
 2.43385  9.42462
