656 | 54 | 14 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 
657 | 75 | 4 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 
643 | 150 | 9 | 0 | 0 | 0 | 0 | 9 | 7 | 0 | 
644 | 450 | 40 | 0 | 0 | 0 | 0 | 13 | 8 | 0 | 
645 | 299 | 24 | 0 | 0 | 0 | 0 | 18 | 6 | 0 | 
646 | 288 | 17 | 0 | 0 | 0 | 0 | 9 | 4 | 0 | 
647 | 423 | 27 | 0 | 0 | 0 | 0 | 19 | 7 | 0 | 
648 | 251 | 21 | 0 | 0 | 0 | 0 | 7 | 8 | 0 | 
639 | 509 | 41 | 1 | 0 | 0 | 0 | 52 | 16 | 0 | 
640 | 180 | 16 | 0 | 0 | 0 | 0 | 16 | 6 | 0 | 
641 | 610 | 60 | 2 | 0 | 0 | 0 | 59 | 23 | 0 | 
642 | 929 | 78 | 0 | 1 | 1 | 0 | 80 | 34 | 0 | 
620 | 3291 | 305 | 4 | 17 | 10 | 0 | 597 | 146 | 1 | 
621 | 2234 | 229 | 1 | 15 | 9 | 0 | 390 | 107 | 0 | 
622 | 1764 | 181 | 1 | 15 | 9 | 1 | 325 | 80 | 1 | 
623 | 1463 | 127 | 0 | 10 | 6 | 0 | 265 | 72 | 1 | 
625 | 1789 | 175 | 0 | 12 | 9 | 0 | 354 | 95 | 2 | 
651 | 732 | 77 | 2 | 13 | 3 | 0 | 165 | 46 | 0 | 
652 | 1646 | 181 | 0 | 22 | 9 | 0 | 386 | 113 | 2 | 
653 | 2109 | 225 | 2 | 36 | 18 | 2 | 504 | 107 | 2 | 
655 | 1266 | 135 | 1 | 18 | 6 | 0 | 317 | 86 | 0 | 
615 | 1457 | 174 | 0 | 63 | 22 | 0 | 534 | 128 | 0 | 
616 | 3285 | 394 | 3 | 147 | 53 | 2 | 1337 | 293 | 2 | 
617 | 5626 | 619 | 7 | 251 | 85 | 5 | 2438 | 545 | 5 | 
660 | 3363 | 491 | 1 | 185 | 37 | 0 | 1382 | 321 | 4 | 
661 | 1132 | 146 | 1 | 61 | 15 | 0 | 444 | 127 | 1 | 
610 | 2452 | 380 | 6 | 452 | 104 | 0 | 1837 | 461 | 1 | 
611 | 3869 | 604 | 12 | 556 | 140 | 1 | 2387 | 637 | 6 | 
612 | 4498 | 702 | 9 | 860 | 188 | 7 | 3238 | 775 | 7 | 
601 | 692 | 354 | 16 | 424 | 182 | 6 | 491 | 460 | 18 | 
602 | 753 | 352 | 21 | 496 | 185 | 6 | 559 | 527 | 23 | 
603 | 3824 | 1893 | 106 | 2423 | 1016 | 70 | 2697 | 2619 | 97 | 
604 | 4456 | 2194 | 166 | 2873 | 1157 | 55 | 3220 | 3089 | 124 | 
632 | 2120 | 1035 | 62 | 1885 | 638 | 35 | 1790 | 1541 | 65 | 
636 | 1392 | 700 | 36 | 1155 | 450 | 14 | 1159 | 1007 | 46 | 
637 | 116 | 51 | 3 | 77 | 21 | 3 | 78 | 90 | 5 | 
638 | 5481 | 2569 | 174 | 3494 | 1380 | 78 | 3814 | 3652 | 147 | 
605 | 341 | 191 | 13 | 2464 | 513 | 25 | 1051 | 604 | 25 | 
606 | 575 | 319 | 19 | 3733 | 864 | 53 | 1567 | 1017 | 32 | 
607 | 1230 | 667 | 40 | 8354 | 1849 | 95 | 3572 | 2329 | 91 | 
590 | 36 | 46 | 1 | 1285 | 368 | 34 | 269 | 262 | 8 | 
592 | 54 | 52 | 12 | 1505 | 417 | 34 | 332 | 310 | 17 | 
593 | 30 | 23 | 3 | 767 | 247 | 12 | 187 | 148 | 8 | 
594 | 139 | 142 | 17 | 3472 | 970 | 90 | 847 | 705 | 40 | 
595 | 97 | 92 | 8 | 2373 | 709 | 61 | 604 | 528 | 31 | 
596 | 77 | 70 | 7 | 1734 | 488 | 40 | 391 | 388 | 19 | 
598 | 207 | 171 | 21 | 4673 | 1474 | 109 | 1042 | 1004 | 51 | 
