run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
294,132.635824,57175,431.067552,6,0.04523665,114,0.8594963,418,3.15148643,425,3.20426252,0,0,132,0.99520624,0.9835294118
295,251.141771,120233,478.745529,8,0.03185452,195,0.77645387,826,3.28897896,836,3.3287971,0,0,251,0.99943549,0.9880382775
296,38.8462007,18303,471.165769,2,0.05148509,39,1.00395919,140,3.60395605,140,3.60395605,0,0,39,1.00395919,1
297,62.0479583,30495,491.474673,2,0.03223313,63,1.01534364,198,3.19108002,201,3.23942972,0,0,62,0.99922708,0.9850746269
298,207.161477,96454,465.598149,6,0.02896291,159,0.76751722,689,3.32590794,704,3.39831522,0,0,207,0.99922053,0.9786931818
299,264.045878,135491,513.134311,6,0.02272332,229,0.86727353,940,3.5599874,971,3.67739124,0,0,264,0.99982625,0.9680741504
304,558.048022,5415080,9703.60935,18,0.03225529,8665,15.5273375,34315,61.4911238,53619,96.0831289,0,0,558,0.99991395,0.6399783659
305,1103.57246,11811371,10702.8505,36,0.03262133,19170,17.3708576,73207,66.3363782,117085,106.096341,0,0,1103,0.99948127,0.6252466157
306,976.975705,10205833,10446.3529,28,0.02865987,16466,16.8540527,63165,64.6536037,101052,103.433483,0,0,977,1.00002487,0.6250742192
307,108.997437,1177471,10802.7402,4,0.03669811,1906,17.4866497,7287,66.8547829,11647,106.855723,0,0,109,1.00002351,0.625654675
308,69.272944,628041,9066.18029,0,0,1054,15.2151755,3900,56.2990364,6193,89.3999827,0,0,70,1.01049553,0.6297432585
309,224.945171,2426716,10788.0333,12,0.05334633,3958,17.5953989,15061,66.9540936,24270,107.892959,0,0,225,1.00024375,0.6205603626
310,316.646105,3296007,10409.119,20,0.063162,5300,16.7379289,20142,63.6104461,32698,103.263547,0,0,317,1.00111764,0.6160009787
316,631.687235,4299665,6806.63588,24,0.03799349,2112,3.34342675,11757,18.6120588,13299,21.0531403,0,0,631,0.99891206,0.8840514324
318,993.275663,6408516,6451.90075,44,0.04429787,3251,3.27300881,17772,17.8923139,20072,20.2078846,0,0,994,1.00072924,0.8854125149
319,81.420934,436614,5362.42927,0,0,217,2.66516225,1204,14.7873519,1345,16.5190932,0,0,81,0.99483015,0.8951672862
320,507.985652,3366720,6627.58876,16,0.03149695,1642,3.23237476,9193,18.0969678,10395,20.4631764,0,0,508,1.00002824,0.8843674844
321,314.938145,1995516,6336.21563,8,0.02540181,1051,3.33716324,5518,17.5209008,6199,19.6832302,0,0,314,0.99702118,0.8901435715
322,384.040489,2611473,6799.99395,18,0.04687006,1308,3.40589088,7205,18.7610427,8186,21.3154608,0,0,384,0.99989457,0.8801612509
323,310.690846,2012375,6477.09782,6,0.0193118,994,3.19932181,5612,18.0629718,6301,20.2806104,0,0,310,0.99777642,0.8906522774
324,210.446204,1479203,7028.88898,6,0.02851085,746,3.54484893,4031,19.1545389,4565,21.6920045,0,0,210,0.99787973,0.8830230011
325,81.0976612,550998,6794.25265,2,0.02466162,261,3.21834189,1216,14.9942672,1641,20.2348622,0,0,69,0.85082602,0.7410115783
326,284.693119,1833055,6438.70496,20,0.07025108,896,3.14724852,5120,17.9842773,5766,20.2533873,0,0,284,0.99756538,0.8879639265
