Run		LEBT Current [nA]		LEBT Intensity [pps]		[enA]	Brho [Tm]				Beam Dump		F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]			
No.	Attenuator	Peak	Average	Peak	Average	Collimator	D1	D2	F2F3	d/R	L	R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD
49	-2						1.3258	1.3061	1.2997	0.049			150	50	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
50	-2						1.2178	1.3061	1.2997	0.049			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
51	-2						1.2178	1.3061	1.2997	0.049			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
52	-2						1.3258	1.3061	1.2997	0.049			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
53	-2						1.3258	1.3061	1.2997	0.049			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
54	-2						1.3258	1.3061	1.2997	0.049			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
55	-2						1.3258	1.3061	1.2997	0.049			4>6	0>2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
56	-2						1.3258	1.31	1.2997	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
57	-2						1.3258	1.3061	1.2997	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
58	-2						1.3258	1.3071	1.2997	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
59	-2						1.3258	1.3071	1.2997	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
60	-2						1.3258	1.3074	1.3009	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
61	-2						1.3258	1.3074	1.3009	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
62	-2						1.3258	1.3074	1.3009	0.049			6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
63	-2						1.3258	1.3074	1.3009	0.049			43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
64	-2						1.3258	1.3074	1.3009	0.049			43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
65	-2						1.3258	1.3074	1.3009	0.049			43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
66																																
67	-2						1.3258	1.3074	1.3009	0.049	210	210	43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
68	-2						1.3258	1.3074	1.3009	0.049	210	210	43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
69	-2						1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
70	-2						1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
71	-2						1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
72	-2						1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
73	-2					200	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
74	-2	390	39	3.00E+11	3.00E+10	450	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
75	-2	390	39	3.00E+11	3.00E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
76	-2	390	39	3.00E+11	3.00E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
77	-2	400	40	3.20E+11	3.20E+10	510	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
78	-2	390	39	3.00E+11	3.00E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
79	-2	400	40	3.20E+11	3.20E+10	500	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
80	-2	400	40	3.10E+11	3.10E+10	510	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
81	-2	400	40	3.10E+11	3.10E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
82	-2	410	41	3.10E+11	3.10E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
83	-2	400	40	3.20E+11	3.20E+10	516	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
84	-2	400	40	3.10E+11	3.10E+10	532	1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
85	-2	400	40	3.10E+11	3.10E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
86	-4	4	0.4	3.10E+09	3.10E+08		1.2501	1.2237	1.2149	0.098	210	210	190>43	190>39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
87	-2	400	40	3.10E+11	3.10E+10		1.2501	1.2237	1.2149	0.098	210	210	43	39>80	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
88	-2						1.2501	1.2237	1.2149	0.098	210	210	43>84	80>0	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
89	-4						1.2501	1.2237	1.2149	0.098	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
90	-4	3	0.3				1.3001	1.2763	1.2684	0.06	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
91	-2	400	40				1.3001	1.2763	1.2684	0.06	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
92	-2	402	40	3.10E+11	3.10E+10		1.3521	1.3306	1.3235	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
93	-2	400	40	3.10E+11	3.10E+10		1.3521	1.3306	1.3235	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
94	-2	402	40	3.10E+11	3.10E+10		1.3521	1.3306	1.3235	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
95	-2	402	40	3.10E+11	3.10E+10		1.3521	1.3306	1.3235	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
96	-2	400	40	3.20E+11	3.20E+10	530	1.3521	1.3319	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
97	-2	400	40	3.20E+11	3.20E+10		1.3521	1.3319	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
98	-2	410	41	3.20E+11	3.20E+10		1.3521	1.3319	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
99	-2	408	41	3.20E+11	3.20E+10		1.3521	1.3319	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
100	-2	406	40	3.20E+11	3.20E+10		1.3521	1.3319	1.3248	0.052	210	210	125	121	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
101	-2	400	40	3.10E+11	3.10E+10	500-550	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
102	-2	400	40	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
103	-2	404	40	3.10E+11	3.10E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
104	-2	395	39	3.10E+11	3.10E+10	530	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
105	-2	390	39	3.10E+11	3.10E+10	516.5	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
106	-2	400	41				1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
107	-2	393	39	3.10E+11	3.10E+10	520.8	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
108	-2	394	39	3.10E+11	3.10E+10	513	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
109	-2						1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
110	-2						1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
111	-2	394	39	3.10E+11	3.10E+10	513.62	1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
112	-2	396	39	3.00E+11	3.00E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
113	-2	391	39	3.00E+11	3.00E+10		1.3521	1.3319	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
