Run		LEBT Current [nA]		LEBT Intensity [pps]		[enA]	Brho [Tm]				Beam Dump		F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]			
No.	Attenuator	Peak	Average	Peak	Average	Collimator	D1	D2	F2F3	d/R	L	R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD
180	-2	350	35	2.80E+11	2.80E+10	459	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
181	-2	423	42	3.00E+11	3.00E+10	570	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
182	-2	422	42	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
183	-2	407	40	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
184	-2	401	40	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
185	-2	400	40	3.10E+11	3.10E+10	527.1	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
186	-2	400	40	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
187	-2	403	40	3.10E+11	3.10E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
188	-2	390	39	3.00E+11	3.00E+10	504.64	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
189	-2	379	37	3.00E+11	3.00E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
190	-2	377	37	3.00E+11	3.00E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
191	-2	371	37	3.00E+11	3.00E+10	491.3	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
192	-2	408	40	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	change	change	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
193	-2	405	40	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
194	-2	411	41	3.20E+11	3.20E+10	0.0445	1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
195																																
196	-2										210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
197	-2	360	36	2.80E+11	2.80E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
198	-2	410	41	3.20E+11	3.20E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
199	-2	404	40	3.10E+11	3.10E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
200	-2	402	40	3.10E+11	3.10E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
201	-2	-	-	-	-		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
202	-2	401	40	3.10E+11	3.10E+10		1.4405	1.4139	1.4051	0.060	210	210	50	100	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
203	-2	410	41	3.20E+11	3.20E+10		1.4405	1.4139	1.4051	0.060	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
204	-2	403	40	3.10E+11	3.10E+10		1.4405	1.4139	1.4051	0.060	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
205	-2	401	40	3.10E+11	3.10E+10		1.4405	1.4139	1.4051	0.060	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
206	-2	400	40	3.10E+11	3.10E+10		1.4981	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
207	-2	400	40	3.10E+11	3.10E+10		1.4981	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
208	-2	404	40	3.20E+11	3.20E+10		1.4981	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
209	-2	411	41	3.20E+11	3.20E+10		1.4981	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
210	-2						1.5581	1.5363	1.5292	0.046	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
211	-2	400	40	3.10E+11	3.10E+10		1.5581	1.5363	1.5292	0.046	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
212	-2	395	39	3.10E+11	3.10E+10		1.5581	1.5363	1.5292	0.046	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
213	-2	401	40	3.20E+11	3.20E+10		1.5581	1.5363	1.5292	0.046	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
214	-2	400	40	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
215	-2	394	39	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
216	-2	407	40	3.20E+11	3.20E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
217	-2	400	40	3.00E+11	3.00E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
218	-2	399	39	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
219	-2	400	40	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
220	-2						1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
221	-2	391	39	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
222	-2	393	39	3.10E+11	3.10E+10		1.5269	1.5040	1.4965	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
223	-2	380	38	3.10E+11	3.10E+10		1.4985	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
224	-2	377	37	2.90E+11	2.90E+10	-9.616	1.4985	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
225	-2	373	37	2.90E+11	2.90E+10		1.4985	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
226	-2	362	36	2.90E+11	2.90E+10	-9.768	1.4985	1.4741	1.4662	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
227	-4	3.92	0.39	3.00E+09	3.00E+08		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
228	-2	-	-	-	-		1.3258	1.3074	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
229	-2	380	38	3.00E+11	3.00E+10		1.3258	1.3074	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
230	-2	380	38	3.00E+11	3.00E+10		1.3258	1.3042	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
231	-2	378	37	3.00E+11	3.00E+10		1.3258	1.304	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
232	-2						1.3258	1.304	1.3009	0.049	210	210	43	39	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
233	-4	3.8	0.38	3.00E+09	3.00E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	46	33	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
234	-4						1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
235	-4	3.8	0.382	3.00E+09	3.00E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
236	-4	3.8	0.382	3.00E+09	3.00E+08		1.3258	1.304	1.3009	0.049	210	210	change	change	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	22
237	-4						1.3258	1.304	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
238	-4	3.8	0.382	3.00E+09	3.00E+08		1.3258	1.304	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
239	-2						1.3258	1.304	1.3009	0.049	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
240	-2	380	38	3.00E+11	3.00E+10		1.3258	1.304	1.3009	0.049	210	210	change	change	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
241	-2	377	37	3.00E+11	3.00E+10		1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
242	-2	383	38				1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
243	-2						1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
244	-4						1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
245	-4	3.7	0.374	2.90E+09	2.90E+08		1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
246	-4	3.8	0.38	2.90E+09	2.90E+08		1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
247	-5	-	-	-	-		1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
248	-5						1.3258	1.304	1.3009	0.049	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
249	-5	0.37	0.037	2.90E+08	2.90E+07		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
250	-6	0.037	0.0037	2.90E+07	2.90E+06		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
251	-4	3.7	0.37	2.90E+09	2.90E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
252	-4	3.7	0.37	2.90E+09	2.90E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
253	-4	3.7	0.37	2.90E+09	2.90E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
254	-4	4.1	0.417	3.20E+09	3.20E+08		1.3258	1.304	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
255	-4	4	0.401	3.10E+09	3.10E+08		1.352	1.3299	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
256	-2	400	40	3.10E+11	3.10E+10		1.352	1.3299	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
257	-2	390	39	3.10E+11	3.00E+10		1.352	1.3299	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
258	-2	400	40	3.20E+11	3.20E+10		1.352	1.331	1.3248	0.052	210	210	6	2	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
259	-4	4	0.4	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
260	-4	4.01	0.401	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
261	-4	4.11	0.409	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
262	-4	4.06	0.406	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
263	-4	4	0.4	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
264	-4	4	0.397	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
265	-4	4.06	0.401	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
266	-4	4	0.397	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
267	-4	4	0.405	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
268	-4	4.02	0.402	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
269	-4	놓쳤다...																														
270	-4	4	0.4	??	??																											
271	-4	4	0.4	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
272	-4	4	0.4	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
273	-4	4	0.4	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
274	-4	4	0.4	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
275	-4	4	0.4	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
276	-4	3.99	0.39	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
277	-4	4	0.4	3.10E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
278	-4	3.94	0.394	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
279	-4	3.94	0.394	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
280	-4	3.94	0.394	3.10E+09	3.10E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
281	-4	3.94	0.394	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
282	-4	3.94	0.394	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
283	-4	3.8	0.38	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
284	-4	3.85	0.385	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
285	-4	3.86	0.385	3.20E+09	3.20E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
286	-4	3.95	0.395	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
287	-4	3.86	0.385	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
288	-4	too short run																														
289	-4	3.86	0.385	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
290	-4	3.69	0.369	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
291	-4	3.6	0.36	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
292	-4	3.69	0.369	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
293	-4	3.69	0.369	3.00E+09	3.00E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
294	-4	3.77	0.377	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
295	-4	3.75	0.371	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
296	-4	3.82	0.382	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
297	-4	3.82	0.382	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
298	-4	3.82	0.382	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
299	-4	3.59	0.359	2.90E+09	2.90E+08		1.352	1.331	1.3248	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
300	-2	369.9	36.9	2.80E+11	2.80E+10		1.4092	1.3872	1.3812	0.051																						
301																																
302	-2	421	43	3.30E+11	3.30E+10		1.4092	1.3879	1.3812	0.051	210	210	8	4	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
303	-2	366	36	2.80E+11	2.80E+10		1.4092	1.3876	1.3812	0.051	210	210	8	4	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
304	-2	366	37	2.80E+11	2.80E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
305	-2	401	41	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
306	-2	420	40	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
307	-2	420	40	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
308	-2	416	41.6	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
309	-2	416	41.6	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
310	-2	412	41.2	3.30E+11	3.30E+10		1.4092	1.3876	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
311	-2	412	41.2	3.30E+11	3.30E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
312	-2	412	41.2	3.30E+11	3.30E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
313	-2	412	41.2	3.30E+11	3.30E+10		1.4291	1.4045	1.3964	0.055	210	210	8	4	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
314	-2	412	41.2	3.30E+11	3.30E+10		1.4291	1.4045	1.3964	0.055	210	210	8	4	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
315	-2	412	41.2	3.30E+11	3.30E+10		1.4291	1.4045	1.3964	0.055	210	210	10	6	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
316	-2	412	41.2	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
317	-2	412	41.2	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
318	-2	412	41.2	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
319	-2	424	42.4	3.30E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
320	-2	424	42.4	3.30E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
321	-2	419	41.9	3.30E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
322	-2	419	41.9	3.30E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
323	-2	397	39	3.00E+11	3.00E+10	-0.8	1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
324	-2	401	40	3.10E+11	3.10E+10																											
325	-2	410	41	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
326	-2	410	41	3.10E+11	3.10E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
327	-2	390	39	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
328	-2	405	40	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
329	-2	403	40	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
330	-2	394	39	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
331	-2	404	40	3.20E+11	3.20E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
332	-2	390					1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
333	-2	390	39	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
334	-2	380	38	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
335	-2	390	39	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
336	-2	390	39	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
337	-2	380	38	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
338	-2	385	38	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
339	-2						1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
340	-2	380	38	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
341	-2	380	38	3.00E+11	3.00E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
342	-2	380	38	2.90E+11	2.90E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
343	-2	380	38	2.90E+11	2.90E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
344	-2	370	37	2.90E+11	2.90E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
345	-2	376	37	2.90E+11	2.90E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
346																																
347	-2	373	37	2.90E+11	2.90E+10		1.4291	1.4045	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
